,keyword,tfidf_score
2089,미디어워크스,2.45719357653903
1365,도둑,2.4563923187554306
794,기계,2.456167033837831
3081,소시민,2.45604671939817
3374,식물,2.4507884432390856
6601,회색,2.4506080350135084
6392,행성,2.442829791364603
2828,상무,2.435785311295623
2941,선정,2.4343925044867483
749,그림,2.428519794339427
4904,전쟁,2.4283324484660236
2307,백화점,2.425111911991345
3106,속도,2.4236011092251717
1262,당신,2.419239880793098
428,계속,2.419180545229894
3778,에밀,2.41409850371819
4079,외국,2.396330589090855
2032,문단속,2.3955465779370444
4726,자크,2.391042255448225
1383,도서관,2.3842514980211424
3672,앨리스,2.383336118071255
1750,마오,2.378982051960295
5256,지상,2.3775327067736782
3341,시신,2.3767009050186507
2987,성장,2.3699215787922094
3810,여름,2.3694692255141043
4974,정상,2.360087142361034
3981,오늘,2.3571095573649403
3071,소설가,2.350117180629644
4273,윌리엄,2.344916803418677
384,결혼,2.343845768384258
1561,라임,2.3383350867622026
68,2022년,2.3284335205094835
4008,오스틴,2.3212834902020787
3998,오만과,2.3212834902020787
2748,사이코,2.319259486980406
1132,누명,2.315920968305424
4474,이순신,2.3148229255007013
4182,운명론,2.3144644981403846
3121,손님,2.311797026119569
5186,죽이기,2.3114440407982695
3626,알란,2.309671873761038
5136,주년,2.3012112144374477
5953,파리,2.2976931689543254
3991,오렌지,2.297097998382732
2217,반점,2.2889759793572853
1977,몽고,2.2889759793572853
2136,믿음,2.2867402511162074
5428,천재,2.2732729614701803
4067,완전,2.27014579023053
6643,흑인,2.263972013589519
2934,선수,2.2627242241580126
5246,지만,2.2626877397783627
6594,황후,2.2610751252123578
5825,탐정,2.254963928832292
3675,앵무새,2.2487877503980584
1613,로맹,2.244636083012434
3408,신세계,2.243615579328437
2543,분야,2.2414769733295747
1245,달빛,2.2330190827505567
2839,상점,2.23107844175899
6111,풍경,2.229262942359601
2276,배반,2.2289464954562765
5774,클로,2.2240470504465977
1986,무게,2.22102025641433
2642,비틀스,2.216371985257168
76,21세기,2.212641152719012
4369,은행,2.208102862029844
113,4월,2.2065985011502116
6447,현대인,2.206447772603071
4841,저주,2.202795929735728
1242,달러,2.19874295106385
6615,후기,2.19161732530308
2216,반전,2.184550271426981
1408,도쿄,2.1807701338201007
1014,남부,2.17924529276114
1367,도둑들,2.1686648395921324
3794,엔데,2.1686648395921324
2123,미하엘,2.1686648395921324
6034,편의,2.1682383039710205
1207,다카,2.1598129944308573
5060,조건,2.1561816107987166
5321,진화,2.15308878826107
3883,연쇄살인범,2.152769667177557
3541,아미르,2.151785437356027
3588,아프가니스탄,2.151785437356027
1189,다비드,2.1498103716685497
2562,불꽃,2.1476633077164617
6438,혁명,2.1453132734634504
1376,도모,2.1432985232666164
6017,페니,2.1418016160730247
6272,한국어,2.140721869227683
1305,대전,2.1404859900169186
210,간병인,2.1388763980155283
1515,등대,2.1354315728783844
4436,이로,2.1259472474598713
5817,탈출,2.1228181127911325
6364,해설,2.1227194165142587
6116,풍자,2.1227157644824377
5739,콜필드,2.120595695103721
6520,홀든,2.120595695103721
1862,메시지,2.1122822326689414
6252,학교,2.1062584366778236
409,경제,2.104401776348878
1705,릴리,2.1021521619031533
3692,약속,2.0964127995623283
4465,이상문학상,2.094689813267282
4444,이모,2.0930739313285947
1571,러너,2.0858573067438986
1781,만남,2.085634019400015
2711,사막,2.085376267669631
236,감수성,2.0811049642437522
5848,테드,2.0783847196034664
1141,눈물,2.0740389026412744
6544,화성,2.072205990693163
6309,한지,2.0710772137997338
4389,의뢰,2.0705587703573824
2735,사요코,2.067502606309207
4258,위원,2.063520796803828
6603,회원,2.063080658949703
6115,풍요,2.0625698668073724
2508,부인,2.060701530771577
2157,바람,2.0589385997443004
910,김진명,2.057789990847873
5857,토끼,2.0416240463248654
565,과업,2.0387668617466774
921,김훈이,2.0387668617466774
884,김선영,2.0318103393462206
3951,영화,2.030538671871893
4968,정보,2.028609443376814
2657,빌딩,2.0228894806627062
5885,통찰,2.0221482414972463
2168,바이러스,2.0183336952615307
1734,마법사,2.0183131127856377
1867,메이즈,2.0073732681480445
4853,전격,2.0072623068352757
123,7년의,2.0007321580276
1614,로버트,1.9974780220726984
292,개작,1.9974135966531177
502,고향,1.9961090550622882
1656,르네,1.9831613230041252
4521,이탈리아,1.9822135507854368
4738,작은,1.9819111064869666
5287,직원,1.9738490836984055
2805,삶의,1.9722984906584629
3993,오리,1.9688491022442232
3469,심리,1.966529839589296
803,기대,1.9663614136538239
4667,있다,1.963057529454866
6658,희생자,1.9602530063719532
2403,병신,1.958316307155084
1755,마음속,1.9511350550054796
5033,제목,1.9499703595032303
11,12월,1.9473368280438073
6416,헉슬리,1.9379541934354174
4781,장우진,1.9351992894285919
4542,이후,1.9286639310981628
2929,선별,1.92849581533785
3294,습지,1.9282973186043273
3751,얼굴,1.920284093121333
1460,동생,1.919859990407337
4581,인종,1.9163373595548308
5017,정해진,1.916114663936582
2775,사형,1.9068509971092158
4454,이번,1.9051231076559352
5139,주류,1.9017664795913294
577,관내,1.9017664795913294
1082,노동,1.900552290194954
5770,클라인,1.8968274347601144
3065,소문,1.8952056678171256
2299,백인,1.8951521657013664
3086,소외,1.8941991938429723
6593,황화,1.8936119541137222
3173,수소,1.8936119541137222
1033,납치,1.8874444354836126
5238,지니,1.8845002273663554
5453,청년,1.8838926773029019
368,결말,1.8663013558200006
6518,혼인,1.865758344886355
6077,폭소,1.8641095781519967
2243,발작,1.8640276295550797
5090,조지,1.8623578157472642
4541,이효석문학상,1.8610212866665015
5429,천지,1.8609097515023154
5335,집안,1.8605520979332233
3634,알베르,1.854807982740941
1120,농담,1.84509970487131
1447,동네,1.842716863600519
411,경지,1.837848533653635
6147,플라워,1.8371462349941265
4112,요양원,1.8368310595535986
3302,시가,1.836030139986773
2988,성적,1.835621535577089
6031,펜스,1.83236250206868
1724,마루,1.8300523605651384
5993,판사,1.8278759974409429
1550,라온,1.824990649609839
2542,분실,1.8200354751364753
4646,임시,1.8184889869980425
5724,코엘료,1.8157109742020001
5970,파울로,1.8157109742020001
3001,세계관,1.8146742637722273
3562,아이들,1.8036353214717937
2686,사나이,1.7946216954504395
4451,이방인,1.7848294319000197
1475,동인문학상,1.7820045019946322
435,계획,1.7792262691751908
3929,영문학,1.7732138384676703
4064,완성,1.7665953290159884
816,기사단,1.7654119827960197
2838,상자,1.7645862845172071
