,keyword,tfidf_score
4505,의식,3.2279339724086986
980,김훈,3.223498583760608
6622,화요일,3.2127276423438342
4010,연기,3.2051958271789043
944,김용택,3.1807739928158654
4038,연인,3.1663313145163166
336,개월,3.160935318602175
63,1년,3.142707221687294
283,감성,3.13807722981774
602,과제,3.1258113203416413
1686,로우,3.084610171555221
886,기회,3.075397937366575
6564,혜민,3.063425466745647
5382,지금,3.061482240083321
1936,명상,3.0472961780422763
337,개인,3.024229982452509
6530,현대인,2.9982514692578572
3477,시편,2.996725199091882
2174,믿음,2.995276438296017
958,김제동,2.9892167841332196
3993,역사,2.968175280213943
227,가족,2.966008906328803
6739,희망,2.963986403167809
306,강연,2.954798479508489
1250,뉴욕,2.952092582117147
2957,새벽,2.92740747772913
3089,성과,2.9223330589356373
852,기술,2.921228999884902
5255,종교,2.9207380619171266
5484,질문,2.8820567772951198
5007,적정,2.8656418692155814
2423,베르,2.8639483176977394
5588,천문학자,2.8634252990226874
6244,프로젝트,2.84764589931059
4899,잠언,2.8459401256907793
604,과학자,2.8410330332043134
3629,아들,2.824715056326272
6575,호수,2.810072784923822
342,개정판,2.7880639868233166
757,그때,2.7838736673151123
1772,마을,2.7790227327593335
4501,의미,2.7238359990469894
6310,하기,2.7204984302991604
40,17년,2.7150617797536367
4834,자연,2.7087497823619935
6544,현장,2.708486096633271
3420,승려,2.6808313153578998
3740,알랭,2.674704474556055
5466,진실,2.671615404835082
769,그리움,2.666636641905189
697,국민,2.663786375892959
2144,미움,2.663114772185676
2774,사노,2.65804871516553
2584,부록,2.656983182242076
6296,필사,2.6557798015255587
2674,불행,2.6478775065794506
212,가요,2.641502555265225
6373,한국,2.635110319934443
3251,손웅정,2.634298982842429
6050,티코,2.6342164982646783
3641,아름답다,2.6269231383405276
5643,체험,2.6236729479813876
4246,요리,2.616090536098664
5630,청춘,2.610691647124956
2414,법정,2.6038399967755486
2026,무례,2.6011701560337803
1552,두려움,2.596628672938582
2820,사실,2.5907358970417325
1475,독서,2.584189132282473
3405,스페인,2.5763667850572443
1265,니다,2.576093620178752
6376,한국사,2.5624114578100077
1638,라이팅,2.5581203879252414
5467,진심,2.551742624573804
4449,육아,2.545021724705636
4651,이해,2.540813066093226
2044,무의식,2.531218369960901
3045,선고,2.531213356981749
3555,실존,2.5252128153859927
4209,완전,2.515618425741274
4292,우울증,2.499944094332972
1850,매뉴얼,2.48609289223939
4838,자유,2.48251107837877
3919,에세이,2.4595527142944262
3691,아픔,2.452090349609623
2490,보노보노,2.4512913945858346
4659,인가,2.434085859799615
6091,판정,2.419019062903001
3169,소녀,2.409809815203159
3494,신경외과,2.405408604983895
565,공부,2.4049129656341814
1842,망설임,2.3977512132832595
3071,선택,2.3881136177102205
6246,프롬,2.3780996645437336
5285,주년,2.367322814725951
705,군가,2.3642628487026323
383,검사,2.359575874450563
2751,빨강머리,2.3587054846239006
3103,성장,2.3386858007662172
4779,있다,2.3380481934775847
949,김이나,2.3353586217783446
5225,조언,2.3327995826447743
2024,무라카미,2.327536094727984
3651,아버지,2.3200826502007894
1702,류시화,2.319024327249626
233,가치,2.317279790467876
3189,소설,2.314244579268705
